"month","jnj_ret","spx_ret","rate_change"
"2016-01-01","0.01680457530819912","-0.06576198732167504","0.10000000000000003"
"2016-02-01","0.014572816239104336","-0.007390498434163617","0.03999999999999998"
"2016-03-01","0.02850429166505708","0.06171731208717568","-0.020000000000000018"
"2016-04-01","0.03599016310856373","0.026499685342537438","0.010000000000000009"
"2016-05-01","0.012526913081543745","-0.004810463118635644","0"
"2016-06-01","0.0762010683652663","0.00887918607588456","0.010000000000000009"
"2016-07-01","0.03253934079699361","0.03119674926345195","0.010000000000000009"
"2016-08-01","-0.040802206446843514","0.013299896371748554","0.010000000000000009"
"2016-09-01","-0.010078653017667194","-0.009089039519678543","0"
"2016-10-01","-0.018014852671085158","-0.006798934751898633","0"
"2016-11-01","-0.03370224600322025","0.010249438709574399","0.009999999999999953"
"2016-12-01","0.03508388068619328","0.037710795408305575","0.13000000000000006"
"2017-01-01","-0.01717195738159394","0.012679864711596656","0.10999999999999999"
"2017-02-01","0.08622663224039928","0.024084278039356866","0.010000000000000009"
"2017-03-01","0.019324499276521134","0.01584251720413543","0.13"
"2017-04-01","-0.00879732531425692","-0.003174171812161286","0.10999999999999999"
"2017-05-01","0.045554759930655164","0.015274145171987774","0.010000000000000009"
"2017-06-01","0.031458669382090854","0.016131092093170762","0.13"
"2017-07-01","0.0034247173734514025","0.0082650639579529","0.10999999999999988"
"2017-08-01","0.003752590245006626","0.0008640810554005895","0.010000000000000009"
"2017-09-01","-0.01794682742767928","0.014908237514897671","-0.010000000000000009"
"2017-10-01","0.07224243923120399","0.02573620729411652","0"
"2017-11-01","0.00557683594876246","0.014316965430078765","0.010000000000000009"
"2017-12-01","0.0028917360246412116","0.027272759820305303","0.14000000000000012"
"2018-01-01","-0.011051664284255636","0.047089818108387194","0.10999999999999988"
"2018-02-01","-0.05410829919386817","-0.03034211440852652","0.010000000000000009"
"2018-03-01","-0.013359995110067135","-0.0008803389833177411","0.09000000000000008"
"2018-04-01","-0.012930233381419742","-0.01818449300321978","0.17999999999999994"
"2018-05-01","-0.047395319644938594","0.018038869084150644","0.010000000000000009"
"2018-06-01","0.014485523888407847","0.019566664924805188","0.1200000000000001"
"2018-07-01","0.09225944722266033","0.014264866641390705","0.08999999999999986"
"2018-08-01","0.023163760224927055","0.0229725465250068","0"
"2018-09-01","0.025727663672439283","0.015284407306193737","0.040000000000000036"
"2018-10-01","0.013014657677272057","-0.039991632830903345","0.24"
"2018-11-01","0.05609574867570566","-0.022342863276442526","0.010000000000000231"
"2018-12-01","-0.12144618783192862","-0.05725633995417023","0.06999999999999984"
"2019-01-01","0.03115500865416898","0.015612712397424788","0.1299999999999999"
"2019-02-01","0.0336626387299892","0.056560089026312044","0"
"2019-03-01","0.02298469841167261","0.017830134352832427","0.010000000000000231"
"2019-04-01","0.010053465800052175","0.03559799102161798","0.009999999999999787"
"2019-05-01","-0.06463063739288177","-0.01690684307083512","-0.029999999999999805"
"2019-06-01","0.0618908300593497","0.012421626618758452","-0.010000000000000231"
"2019-07-01","-0.06507706598233554","0.036657976172869144","0.020000000000000018"
"2019-08-01","-0.006685358727592683","-0.03291445736522314","-0.27"
"2019-09-01","0.007730582421401566","0.029217556964503455","-0.08999999999999986"
"2019-10-01","0.020540858813138607","-0.0015025312588260453","-0.20999999999999996"
"2019-11-01","0.048579458817905374","0.042727723247184546","-0.28"
"2019-12-01","0.06088617445233102","0.023139205669457485","0"
"2020-01-01","0.020567990694021265","0.03193620792981866","0"
"2020-02-01","-0.09091569081550421","-0.00027107737234899343","0.030000000000000027"
"2020-03-01","-0.0248283021881488","-0.19068070194658615","-0.93"
"2020-04-01","0.14414753789584878","0.041314230372621275","-0.6"
"2020-05-01","-0.0016748620386075608","0.05707500912045682","0"
"2020-06-01","-0.054567354225367404","0.06338024331663905","0.03"
"2020-07-01","0.0364455364455365","0.033162456330321","0.009999999999999995"
"2020-08-01","0.059477296340196384","0.05739176126387702","0.010000000000000009"
"2020-09-01","-0.02952286900133283","-0.007722751453789756","-0.010000000000000009"
"2020-10-01","-0.07906609358988947","0.015802832740796635","0"
"2020-11-01","0.06258837710656251","0.0381112950518292","0"
"2020-12-01","0.08764734541911179","0.0412278977766225","0"
"2021-01-01","0.03663836330815018","0.02663874507216768","0"
"2021-02-01","-0.02257336343115124","0.02363986070158086","-0.009999999999999995"
"2021-03-01","0.037142857142857144","0.00697222324801583","-0.009999999999999995"
"2021-04-01","-0.009912265633449713","0.05898668771903637","0"
"2021-05-01","0.04663252388816397","0.006440998474093629","-0.010000000000000009"
"2021-06-01","-0.02667640810913685","0.016948799483893495","0.020000000000000004"
"2021-07-01","0.04533440987050019","0.029544324775462538","0.020000000000000004"
"2021-08-01","0.011308230750663784","0.020737731710595897","-0.010000000000000009"
"2021-09-01","-0.06711457450744052","-0.0019449099560708838","-0.009999999999999995"
"2021-10-01","0.008525961649162639","0.0034110137697025422","0"
"2021-11-01","-0.036377704069660455","0.046333354150019934","0"
"2021-12-01","0.09706929572273815","0.001582483118188982","0"
"2022-01-01","0.007114918532382886","-0.02159617871554287","0"
"2022-02-01","-0.03867093961090784","-0.030135665438234205","0"
"2022-03-01","0.07692736668608169","-0.010080140942733573","0.12000000000000001"
"2022-04-01","0.01822774322357179","7.009963455040236e-06","0.13"
"2022-05-01","0.0012375048737349736","-0.07991627073192065","0.44"
"2022-06-01","-0.011253583764137542","-0.03500018150197837","0.43999999999999995"
"2022-07-01","-0.016844184161557973","0.0032785350573316663","0.47"
"2022-08-01","-0.06930905755241135","0.06310087225567629","0.6500000000000001"
