"year","avg_sp500_level"
"2015","2053.6500000000000000"
"2016","2094.6513095238095238"
"2017","2449.0763745019920319"
"2018","2746.2140239043824701"
"2019","2913.3605555555555556"
"2020","3217.8564822134387352"
"2021","4273.4066269841269841"
"2022","4098.5147410358565737"
"2023","4283.7294400000000000"
"2024","5428.2351190476190476"
"2025","6211.5913709677419355"
