Date,Open,High,Low,Close,Volume
2019-10-31,119.503,126.338,115.864,121.327,226595294.28979
2019-11-30,121.336,127.926,119.169,127.221,138885023.26718
2019-12-31,127.435,136.791,125.995,134.967,139334858.84326
2020-01-31,134.967,139.89,130.809,137.743,162468888.71802
2020-02-29,138.253,142.939,121.817,125.22,158754450.7298
2020-03-31,125.514,133.752,101.655,122.111,382235210.84663
2020-04-30,118.905,146.195,116.865,139.713,251705662.65962
2020-05-31,139.322,143.039,134.094,139.479,146010653.61524
2020-06-30,138.106,140.675,128.476,131.868,185638770.18217
2020-07-31,131.918,142.214,131.319,136.674,147055262.75611
2020-08-31,137.272,145.744,136.732,144.803,117053518.20252
2020-09-30,145.235,146.746,134.938,140.528,147056489.48863
2020-10-31,140.929,144.549,126.152,129.417,145451049.44196
2020-11-30,131.172,142.812,129.769,137.517,162452756.62449
2020-12-31,139.048,149.844,138.635,149.57,167204326.08974
2021-01-31,149.451,165.044,146.489,155.05,194114370.21489
2021-02-28,157.12,159.632,151.069,151.55,155075607.35958
2021-03-31,154.404,159.739,144.862,157.179,183061504.06514
2021-04-30,155.502,160.464,149.697,155.621,170087127.12402
2021-05-31,156.473,165.211,156.002,162.878,137018739.91281
2021-06-30,163.74,163.789,155.688,158.533,151373069.59459
2021-07-31,158.533,166.859,158.425,165.72,138960460.68911
2021-08-31,165.966,173.223,164.848,167.594,119035305.10314
2021-09-30,167.368,169.624,156.257,156.346,136391901.00789
2021-10-31,156.376,160.73,152.315,157.679,140828598.92831
2021-11-30,157.954,162.269,151.864,151.943,169344588.88511
2021-12-31,152.864,169.065,152.246,166.692,172392727.56239
2022-01-31,165.848,169.839,154.208,167.878,169920942.08723
2022-02-28,167.338,169.173,152.707,161.386,158320357.71123
2022-03-31,159.886,176.723,159.266,173.801,183660787.88591
2022-04-30,173.625,183.078,172.124,176.969,166682203.03085
2022-05-31,176.979,179.369,169.349,177.188,155430772.81882
2022-06-30,176.813,180.959,165.078,175.194,161433284.49001
2022-07-31,175.136,177.642,167.546,172.243,116157406.73882
2022-08-31,171.898,173.201,160.236,160.305,159008017.33273
2022-09-30,160.454,166.595,159.779,162.312,169376277.32242
2022-10-31,163.236,174.265,158.149,172.854,140309488.15446
2022-11-30,172.944,178.12,165.75,178,138947685.97393
2022-12-31,179,181.039,174.07,176.65,129804586
2023-01-31,176.16,180.93,161.05,163.42,160523975
2023-02-28,162.99,166.34,153.04,153.26,164788113
2023-03-31,153.01,156.25,150.11,155,185727779
2023-04-30,154.95,167.23,153.94,163.7,146071396
2023-05-31,163.6,166.18,153.32,155.06,132116909
2023-06-30,154.54,166.27,153.15,165.52,146420469
2023-07-31,164.34,175.36,157.33,167.53,201433484
2023-08-31,166.365,175.97,161.279,161.68,1084597713
2023-09-30,161.42,165.27,155.255,155.75,147239309
2023-10-31,155.42,159.27,144.95,148.34,152897051
2023-11-30,149.19,155.14,145.64,154.66,131093910
2023-12-31,156.44,160.02,151.77,156.74,146547843
2024-01-31,156.93,163.58,156.79,158.9,138206713
2024-02-29,158.16,162.25,154.84,161.38,158290166
2024-03-31,161.83,163.11,154.76,158.19,140395970
2024-04-30,157.72,158.15,143.13,144.59,176035038
2024-05-31,148.735,154.86,143.71,148.58,174619298
2024-06-30,147.25,149.7199,143.88,146.16,132521167
2024-07-31,146.07,161.58,144.5,157.85,151363123
2024-08-31,158.48,165.98,156.44,165.86,150665081
2024-09-30,165.24,168.85,160.02,162.06,120357670
2024-10-31,162.43,166.75,158.775,159.86,133028984
2024-11-30,160.58,161.06,150.76,155.01,153342736
2024-12-31,154.86,155,142.75,144.62,177839640
2025-01-31,145.21,154.14,140.68,152.15,192830075
2025-02-28,151.17,166.43,150.78,165.02,169977785
2025-03-31,164.96,169.99,160.555,165.84,186804218
2025-04-30,160.73,161.81,141.5,156.31,236797487
2025-05-31,155,157.9423,146.115,155.21,174253184
2025-06-30,154.71,157.67,149.04,152.75,159006719
2025-07-31,152.82,169.99,152.81,164.74,187622833
2025-08-31,165.475,181.16,164.79,177.17,174938970
2025-09-30,177.47,185.99,173.33,185.42,180804191
2025-10-31,185.85,194.48,182.94,188.87,195076900
2025-11-30,188.87,207.81,185.12,206.92,174242161
2025-12-31,206.255,215.185,199.905,207.56,168347099
